-36777	-38256
-4784	-41414
-3167	-39480
-9493	-16540
-2033	-40121
-24671	-29234
-11714	-12103
-2284	-39757
-27949	-28010
-1454	-32898
-28125	-35103
-33505	-37953
-35639	-35656
-36763	-39898
-40419	107
-491	-23163
-18576	-34296
-32911	-37786
-1981	-31427
-3472	-37976
-12330	-29399
-6087	-24834
-2213	-35648
-1522	-2437
-40147	21
-34898	-35138
-3387	-36125
-38169	-41305
-16634	-35923
-37837	-40173
-23917	-27484
-19791	-38183
-3212	-3296
-38896	-40093
-39758	-41292
-36053	-36061
-2369	-3726
-24525	-30288
-5969	-25508
-18495	-32699
-3713	-39360
-9492	-25569
-38569	-39066
-33535	-35216
28	68
-32678	-39885
-38456	-39913
-37079	-37105
-35050	-37369
-5709	-32047
-8982	-18022
-34070	-37653
-9035	-10043
-38259	-38965
-39092	-39393
-24743	-25070
-34995	-39054
-33072	-38936
-17726	-37086
-9462	-10008
-37335	-40171
-35696	171
-25101	-35459
-36576	-36596
-10107	-25184
-18782	-39220
-40270	104
-20461	-32871
-9867	-12259
-1570	-33308
-3706	-32548
-28221	-35531
-40082	90
-2885	-3748
-32980	-34769
-13027	-16953
-12523	-29878
-3785	-35122
-38726	-40437
-2935	-38917
-33053	-39569
-10385	-16290
-37510	-37759
-38031	-40243
-9918	-33808
-35109	-38969
-40058	-40094
-32191	-39897
-38690	-39603
-29953	-37687
-29192	-29561
-16239	-24910
-27954	-28276
-2237	-9495
44	69
-1611	-32815
-20413	-21102
-36901	-40143
-3129	-40220
-31395	-31672
-14529	-14870
185	234
-40384	236
-19141	-19886
-40491	143
-12174	-12274
-39372	-40045
-24590	-27679
-9199	-38310
-5484	-6120
-11805	-12337
-38050	-38528
-40236	-40573
-3459	-36115
-2887	-39428
-37874	-38433
-11458	-28477
-14434	-17799
-32853	-33036
-2431	-38073
-1500	-12417
-8820	-21351
-38602	-41426
-5552	-9400
-12142	-12299
-38250	-39505
-5826	-12340
-39547	308
-29870	-31713
-39576	-41525
-28122	-40858
-11952	-25338
-36310	-37569
-18857	-23731
-39499	-41085
-33112	-39860
-12629	-29672
-10708	-28394
-6283	-12154
-13519	-13902
-36049	-36492
-20591	-35608
-36271	-39542
-35098	-40172
-37825	-39801
-34856	-40217
-29536	-30251
-32097	-39472
-32292	-37280
-27597	-31575
-6151	-8563
-6031	-31423
-1921	-34977
-29468	-40192
-439	-2640
-3154	-39261
-27939	-40928
-10910	-11677
-18085	-29233
-2962	-40986
-2364	-2737
-2522	-20953
-8837	-29247
-6304	-11689
-5712	-16174
-2208	163
-3176	-32711
-38059	-38791
-32375	-36952
-33380	-33424
-31809	-38912
-33041	340
-16430	-25133
-12909	-16663
-9879	-16163
-33582	-38338
-12427	-13732
-38622	-39062
-37948	-39839
-21756	-41200
-5717	-11833
-3331	-37524
-6227	170
-2907	-32757
-29023	-37034
-24526	-27505
-40736	-40900
-2023	-36716
-1817	-1825
-3406	-39635
-3540	-36567
-5819	-5964
-34746	-34988
-32551	-35579
-36016	-40076
-21751	-39710
-8706	-17956
-39406	-40235
-12767	-34504
-8945	-25491
-20739	140
-17070	-18670
-25234	-29862
-32919	10
-1626	-20065
-17190	-18032
-2580	-34548
-1319	-39597
-3345	-39215
-29378	-36766
-2012	-20361
-3657	-34717
-16648	-19664
-17746	-17801
-8299	-33756
-29327	-31645
-38522	56
-24940	-32954
-14782	-17521
-9226	-24447
-35758	2
-12129	-12515
-2205	-24694
-2418	-18754
-25542	305
-25126	-37977
-23775	-25865
-33133	-35441
-17821	-30972
-24164	249
-37076	-40339
-4886	-6173
-1506	-24252
-16530	618
-16830	-22151
-32504	-32751
-13073	-31234
-32698	-36500
-3724	-32131
-33052	-35748
-11824	-29260
-3692	-3705
-16143	-19142
-3144	-3567
-17334	-21059
-15799	-30988
-41282	199
-27010	-38911
-29458	-40218
-36437	-36551
-19930	-36152
-38353	-40345
-2233	-10152
-20837	-34534
-35223	-40655
-3737	-40016
-6107	-24260
-32847	-40193
-37555	-39308
-4801	-7495
-3160	-13686
-10587	-15473
-33114	-38563
-39384	496
-3757	-38849
-38908	-38926
-12854	-13129
-9020	-12124
-3777	-34180
-11832	-12292
-12077	-16867
-17366	-17710
-18282	-39212
-1987	394
-10256	-12247
-32770	-37667
-28351	-29703
-2570	-41312
-33137	-36105
-2755	-39946
-16968	399
-5911	-6167
-17718	-17932
-854	-2645
-41165	141
-7643	-7938
-37296	-39182
-9827	-38462
-33038	-35113
-3440	-35779
-12284	-12387
-18040	156
-32981	16
-16296	-38634
-23037	-39108
-36119	177
-19712	-19880
-18023	-25367
-9817	-31050
-36008	-40806
-9415	-39498
-26347	-38235
-40726	-41058
-6395	-18071
-5269	-27936
-3106	173
-40786	-41436
-40200	194
-13155	-29289
-2828	-32862
-39356	-40026
-8467	-12716
-9662	-15919
-32582	-40299
-39388	-39911
-5921	-11745
-24131	-24327
-1942	-3361
-10260	-31560
-3039	-37596
-3115	-34443
-38559	-40380
-12818	-14248
-35265	-39540
-17535	-32987
-35039	-39900
-5907	-17570
-20478	-27771
-9379	-30932
-35845	-36412
-35252	22
-32476	-36662
-38199	-38613
-32216	-34501
-28036	-41210
-14170	-26675
-18039	-19202
-16794	-17935
-39644	192
-29414	-31128
-39899	209
-33489	-33732
-2902	-39268
-33022	-36079
-32067	351
-37231	-38188
-32891	-38231
-20592	-27327
-35053	-37781
-19093	-19920
-11811	-13158
-20177	-24024
-614	-33302
-32852	-37691
-2109	-3395
-31113	-31290
-39430	-39486
-32566	-39039
-3353	-40205
-35420	-37935
-5444	-11891
-16950	-27482
-6013	-24689
-36118	18
-33506	-41243
-2626	-2874
-3171	-39952
-39489	-39815
-16860	324
-17750	-24534
-39515	-39734
-10558	-33159
-10181	-11883
-2031	-2941
-33115	-33136
-12254	-17386
-38033	-38189
-2984	-25650
-15111	-30540
-32430	-34171
-34709	-40618
-6341	-12343
-34982	100
-14411	-14979
-25991	-39140
-2918	-40780
-27363	-30720
-35500	-38056
-12628	-19883
-9342	-16141
-28274	-36051
-31035	-39044
-11861	180
-34600	-38560
-11330	-12635
-14543	-23960
-9783	114
-34588	-36734
-3148	-39253
-33367	-40587
-456	-18476
-29782	388
-36852	-37270
-20472	-21179
-5666	-12766
-38511	-40646
-11963	-24046
-11757	-12028
-13061	-29362
-36181	-37371
-32740	-35479
11	40
-2968	-3684
-2093	-40570
-17757	-28052
-28105	-38991
-6155	-8781
-10934	-11058
322	542
-37228	47
-38889	-38954
-11856	-11933
-27699	89
-5419	-12421
-21405	-25376
-2848	175
-3323	-40558
-11888	-17272
-9878	-16320
-18006	-26338
-17542	-25130
-17849	-25438
-35274	-37864
-33051	-35460
-3739	-30662
-3762	-38655
-9445	-41137
-29833	-39144
-542	-3000
-35941	-37484
-37095	-39940
-38807	-39955
-39518	330
-12121	-17633
-35323	-37774
-32837	-36290
-28681	-40159
-17508	-21322
-35649	-40656
-19136	-20412
-16573	-23888
